SurveyId,SurveyYearLabel,SurveyType,CountryName
AF2015DHS,2015,DHS,Afghanistan
AL2008DHS,2008-09,DHS,Albania
AL2017DHS,2017-18,DHS,Albania
AO2006MIS,2006-07,MIS,Angola
AO2011MIS,2011,MIS,Angola
AO2015DHS,2015-16,DHS,Angola
AM2000DHS,2000,DHS,Armenia
AM2005DHS,2005,DHS,Armenia
AM2010DHS,2010,DHS,Armenia
AM2016DHS,2015-16,DHS,Armenia
AZ2006DHS,2006,DHS,Azerbaijan
BD1994DHS,1993-94,DHS,Bangladesh
BD1997DHS,1996-97,DHS,Bangladesh
BD2000DHS,1999-00,DHS,Bangladesh
BD2004DHS,2004,DHS,Bangladesh
BD2007DHS,2007,DHS,Bangladesh
BD2011DHS,2011,DHS,Bangladesh
BD2014DHS,2014,DHS,Bangladesh
BD2017DHS,2017-18,DHS,Bangladesh
BD2022DHS,2022,DHS,Bangladesh
BJ1996DHS,1996,DHS,Benin
BJ2001DHS,2001,DHS,Benin
BJ2006DHS,2006,DHS,Benin
BJ2012DHS,2011-12,DHS,Benin
BJ2017DHS,2017-18,DHS,Benin
BO1989DHS,1989,DHS,Bolivia
BO1994DHS,1994,DHS,Bolivia
BO1998DHS,1998,DHS,Bolivia
BO2003DHS,2003,DHS,Bolivia
BO2008DHS,2008,DHS,Bolivia
BT1988DHS,1988,DHS,Botswana
BR1986DHS,1986,DHS,Brazil
BR1996DHS,1996,DHS,Brazil
BF1993DHS,1993,DHS,Burkina Faso
BF1999DHS,1998-99,DHS,Burkina Faso
BF2003DHS,2003,DHS,Burkina Faso
BF2010DHS,2010,DHS,Burkina Faso
BF2014MIS,2014,MIS,Burkina Faso
BF2017MIS,2017-18,MIS,Burkina Faso
BF2021DHS,2021,DHS,Burkina Faso
BU1987DHS,1987,DHS,Burundi
BU2010DHS,2010,DHS,Burundi
BU2012MIS,2012,MIS,Burundi
BU2016DHS,2016-17,DHS,Burundi
KH2000DHS,2000,DHS,Cambodia
KH2005DHS,2005,DHS,Cambodia
KH2010DHS,2010,DHS,Cambodia
KH2014DHS,2014,DHS,Cambodia
KH2021DHS,2021-22,DHS,Cambodia
CM1991DHS,1991,DHS,Cameroon
CM1998DHS,1998,DHS,Cameroon
CM2004DHS,2004,DHS,Cameroon
CM2011DHS,2011,DHS,Cameroon
CM2018DHS,2018,DHS,Cameroon
CM2022MIS,2022,MIS,Cameroon
CF1994DHS,1994-95,DHS,Central African Republic
TD1997DHS,1996-97,DHS,Chad
TD2004DHS,2004,DHS,Chad
TD2014DHS,2014-15,DHS,Chad
CO1986DHS,1986,DHS,Colombia
CO1990DHS,1990,DHS,Colombia
CO1995DHS,1995,DHS,Colombia
CO2000DHS,2000,DHS,Colombia
CO2005DHS,2005,DHS,Colombia
CO2010DHS,2010,DHS,Colombia
CO2015DHS,2015,DHS,Colombia
KM1996DHS,1996,DHS,Comoros
KM2012DHS,2012,DHS,Comoros
CG2005DHS,2005,DHS,Congo
CG2009AIS,2009,AIS,Congo
CG2011DHS,2011-12,DHS,Congo
CD2007DHS,2007,DHS,Congo Democratic Republic
CD2013DHS,2013-14,DHS,Congo Democratic Republic
CI1994DHS,1994,DHS,Cote d'Ivoire
CI1998DHS,1998-99,DHS,Cote d'Ivoire
CI2005AIS,2005,AIS,Cote d'Ivoire
CI2012DHS,2011-12,DHS,Cote d'Ivoire
CI2021DHS,2021,DHS,Cote d'Ivoire
DR1986DHS,1986,DHS,Dominican Republic
DR1991DHS,1991,DHS,Dominican Republic
DR1996DHS,1996,DHS,Dominican Republic
DR1999DHS,1999,DHS,Dominican Republic
DR2002DHS,2002,DHS,Dominican Republic
DR2007DHS,2007,DHS,Dominican Republic
DR2013DHS,2013,DHS,Dominican Republic
EC1987DHS,1987,DHS,Ecuador
EG1988DHS,1988,DHS,Egypt
EG1992DHS,1992,DHS,Egypt
EG1995DHS,1995,DHS,Egypt
EG2000DHS,2000,DHS,Egypt
EG2003DHS,2003,DHS,Egypt
EG2005DHS,2005,DHS,Egypt
EG2008DHS,2008,DHS,Egypt
EG2014DHS,2014,DHS,Egypt
ES1985DHS,1985,DHS,El Salvador
ER1995DHS,1995,DHS,Eritrea
ER2002DHS,2002,DHS,Eritrea
SZ2006DHS,2006-07,DHS,Eswatini
ET2000DHS,2000,DHS,Ethiopia
ET2005DHS,2005,DHS,Ethiopia
ET2011DHS,2011,DHS,Ethiopia
ET2016DHS,2016,DHS,Ethiopia
ET2019DHS,2019,DHS,Ethiopia
GA2000DHS,2000,DHS,Gabon
GA2012DHS,2012,DHS,Gabon
GA2019DHS,2019-21,DHS,Gabon
GM2013DHS,2013,DHS,Gambia
GM2019DHS,2019-20,DHS,Gambia
GH1988DHS,1988,DHS,Ghana
GH1993DHS,1993,DHS,Ghana
GH1998DHS,1998,DHS,Ghana
GH2003DHS,2003,DHS,Ghana
GH2008DHS,2008,DHS,Ghana
GH2014DHS,2014,DHS,Ghana
GH2016MIS,2016,MIS,Ghana
GH2019MIS,2019,MIS,Ghana
GH2022DHS,2022,DHS,Ghana
GU1987DHS,1987,DHS,Guatemala
GU1995DHS,1995,DHS,Guatemala
GU1999DHS,1998-99,DHS,Guatemala
