Alpha_2,Alpha_3,Numeric,Name,Official_name,Common_name,Name_use,DHS_CountryCode
AO,AGO,024,Angola,Republic of Angola,NA,Angola,AO
BI,BDI,108,Burundi,Republic of Burundi,NA,Burundi,BU
BJ,BEN,204,Benin,Republic of Benin,NA,Benin,BJ
BF,BFA,854,Burkina Faso,NA,NA,Burkina Faso,BF
BW,BWA,072,Botswana,Republic of Botswana,NA,Botswana,BT
CF,CAF,140,Central African Republic,NA,NA,Central African Republic,CF
CI,CIV,384,Côte d'Ivoire,Republic of Côte d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,CI
CM,CMR,120,Cameroon,Republic of Cameroon,NA,Cameroon,CM
CD,COD,180,"Congo, The Democratic Republic of the",NA,Congo Democratic Republic,Congo Democratic Republic,CD
CG,COG,178,Congo,Republic of the Congo,NA,Congo,CG
KM,COM,174,Comoros,Union of the Comoros,NA,Comoros,KM
CV,CPV,132,Cabo Verde,Republic of Cabo Verde,Cape Verde,Cape Verde,CV
ER,ERI,232,Eritrea,the State of Eritrea,NA,Eritrea,ER
ET,ETH,231,Ethiopia,Federal Democratic Republic of Ethiopia,NA,Ethiopia,ET
GA,GAB,266,Gabon,Gabonese Republic,NA,Gabon,GA
GH,GHA,288,Ghana,Republic of Ghana,NA,Ghana,GH
GN,GIN,324,Guinea,Republic of Guinea,NA,Guinea,GN
GM,GMB,270,Gambia,Republic of the Gambia,NA,Gambia,GM
GQ,GNQ,226,Equatorial Guinea,Republic of Equatorial Guinea,NA,Equatorial Guinea,EK
KE,KEN,404,Kenya,Republic of Kenya,NA,Kenya,KE
LR,LBR,430,Liberia,Republic of Liberia,NA,Liberia,LB
LS,LSO,426,Lesotho,Kingdom of Lesotho,NA,Lesotho,LS
MG,MDG,450,Madagascar,Republic of Madagascar,NA,Madagascar,MD
ML,MLI,466,Mali,Republic of Mali,NA,Mali,ML
MZ,MOZ,508,Mozambique,Republic of Mozambique,NA,Mozambique,MZ
MR,MRT,478,Mauritania,Islamic Republic of Mauritania,NA,Mauritania,MR
MW,MWI,454,Malawi,Republic of Malawi,NA,Malawi,MW
NA,NAM,516,Namibia,Republic of Namibia,NA,Namibia,NM
NE,NER,562,Niger,Republic of the Niger,NA,Niger,NI
NG,NGA,566,Nigeria,Federal Republic of Nigeria,NA,Nigeria,NG
RW,RWA,646,Rwanda,Rwandese Republic,NA,Rwanda,RW
SN,SEN,686,Senegal,Republic of Senegal,NA,Senegal,SN
SL,SLE,694,Sierra Leone,Republic of Sierra Leone,NA,Sierra Leone,SL
ST,STP,678,Sao Tome and Principe,Democratic Republic of Sao Tome and Principe,NA,Sao Tome and Principe,ST
SZ,SWZ,748,Eswatini,Kingdom of Eswatini,NA,Eswatini,SZ
TD,TCD,148,Chad,Republic of Chad,NA,Chad,TD
TG,TGO,768,Togo,Togolese Republic,NA,Togo,TG
TZ,TZA,834,"Tanzania, United Republic of",United Republic of Tanzania,Tanzania,Tanzania,TZ
UG,UGA,800,Uganda,Republic of Uganda,NA,Uganda,UG
ZA,ZAF,710,South Africa,Republic of South Africa,NA,South Africa,ZA
ZM,ZMB,894,Zambia,Republic of Zambia,NA,Zambia,ZM
ZW,ZWE,716,Zimbabwe,Republic of Zimbabwe,NA,Zimbabwe,ZW
