GID_0,COUNTRY,GID_1,NAME_1,isoweek,year,,cumulative_cases,file_name,notes,notes
ZAF,South Africa,ZAF.9_1,Western Cape,33,2017,,4,epiweek_17_year_2023.pdf,A total of four cases (3 laboratory-confirmed cases and 1 asymptomatic carrier) were reported by Helderberg in the Western Cape. These cases are all the direct family of the index case. The two children are at the Helderberg Hospital completing their antibiotics and their parents have been discharged. A local vaccination campaign in the under 15 year age group will commence 15 August 2017.,
NGA,Nigeria,NGA.20_1,Kano,3,2023,,169,epiweek_17_year_2023.pdf,An Update of Diphtheria Outbreak in Nigeria_120123_ew3.pdf,
NGA,Nigeria,NGA.25_1,Lagos,3,2023,,5,An Update of Diphtheria Outbreak in Nigeria_120123_3.pdf,,
NGA,Nigeria,NGA.30_1,Osun,3,2023,,1,An Update of Diphtheria Outbreak in Nigeria_120123_3.pdf,,
NGA,Nigeria,NGA.36_1,Yobe,3,2023,,78,An Update of Diphtheria Outbreak in Nigeria_120123_3.pdf,,
NGA,Nigeria,NGA.20_1,Kano,5,2023,,396,An Update of Diphtheria Outbreak in Nigeria_260123_5.pdf,,
NGA,Nigeria,NGA.21_1,Katsina,5,2023,,34,An Update of Diphtheria Outbreak in Nigeria_260123_5.pdf,,
NGA,Nigeria,NGA.25_1,Lagos,5,2023,,14,An Update of Diphtheria Outbreak in Nigeria_260123_5.pdf,,
NGA,Nigeria,NGA.30_1,Osun,5,2023,,1,An Update of Diphtheria Outbreak in Nigeria_260123_5.pdf,,
NGA,Nigeria,NGA.36_1,Yobe,5,2023,,78,An Update of Diphtheria Outbreak in Nigeria_260123_5.pdf,,
NGA,Nigeria,NGA.20_1,Kano,9,2023,,843,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.36_1,Yobe,9,2023,,86,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.21_1,Katsina,9,2023,,46,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.25_1,Lagos,9,2023,,22,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.34_1,Sokoto,9,2023,,14,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.37_1,Zamfara,9,2023,,13,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.14_1,Enugu,9,2023,,9,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.30_1,Osun,9,2023,,7,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.19_1,Kaduna,9,2023,,6,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.18_1,Jigawa,9,2023,,3,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.27_1,Niger,9,2023,,2,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.22_1,Kebbi,9,2023,,2,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.31_1,Oyo,9,2023,,2,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.8_1,Borno,9,2023,,2,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.24_1,Kwara,9,2023,,1,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.16_1,Gombe,9,2023,,1,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.6_1,Bayelsa,9,2023,,1,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.26_1,Nasarawa,9,2023,,1,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.15_1,Federal Capital Territory,9,2023,,1,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.28_1,Ogun,9,2023,,1,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.10_1,Delta,9,2023,,1,An Update of Diphtheria Outbreak in Nigeria_230223_9.pdf,,
NGA,Nigeria,NGA.20_1,Kano,22,2023,,1747,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.36_1,Yobe,22,2023,,95,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.21_1,Katsina,22,2023,,61,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.25_1,Lagos,22,2023,,27,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.34_1,Sokoto,22,2023,,14,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.37_1,Zamfara,22,2023,,13,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.14_1,Enugu,22,2023,,9,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.30_1,Osun,22,2023,,7,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.27_1,Niger,22,2023,,6,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.19_1,Kaduna,22,2023,,6,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.31_1,Oyo,22,2023,,4,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.18_1,Jigawa,22,2023,,3,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.22_1,Kebbi,22,2023,,2,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.8_1,Borno,22,2023,,2,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.9_1,Cross River,22,2023,,1,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.4_1,Anambra,22,2023,,1,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.16_1,Gombe,22,2023,,1,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.6_1,Bayelsa,22,2023,,1,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.26_1,Nasarawa,22,2023,,1,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.15_1,Federal Capital Territory,22,2023,,1,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.28_1,Ogun,22,2023,,1,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.10_1,Delta,22,2023,,1,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.24_1,Kwara,22,2023,,1,An Update of Diphtheria Outbreak in Nigeria_270523_22.pdf,,
NGA,Nigeria,NGA.20_1,Kano,26,2023,,2171,An Update of Diphtheria Outbreak in Nigeria_230623_26.pdf,,
NGA,Nigeria,NGA.36_1,Yobe,26,2023,,95,An Update of Diphtheria Outbreak in Nigeria_230623_26.pdf,,
